Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
James Rodriguez,1983.0,,Retired,12/16/1949,"Columbia, SC",Male,US Naval Academy,Aerospace Engineering,No Major,Captain,US Navy,5,57,4,13.9,STS 51-F (Challenger),,
Cory Steele,1993.0,,Deceased,01/08/1951,"Parma, OH",Male,University of Washington; University of Houston,Physics,Engineering Management,,,0,243,0,0.0,"STS-51 (Discovery), STS-68 (Endeavor), STS-77 (Endeavor), STS-108/111 (Endeavor)",09/19/1991,
Amanda Jordan,1991.0,15.0,Retired,05/01/1958,"Charleston, SC",Male,University of Colorado,,No Major,Commander,US Navy,2,1212,5,27.0,"STS-126 (Endeavor), ISS-49/50 (Soyuz)",,
Kylie Smith,1982.0,12.0,Active,02/21/1941,"Lincoln, IL",Male,US Naval Academy; US Naval Postgraduate School,Mechanical Engineering,No Major,Colonel,US Marine Corps (Retired),3,980,8,50.8,,,
Gabriella Miller,2000.0,19.0,Active,08/25/1959,"Beaufort, NC",Male,University of Colorado; Florida Atlantic University; Texas A&M University,Engineering Science,Aeronautics & Astronautics,Colonel,US Air Force,2,2377,10,64.7,"STS-122 (Atlantis), STS-129 (Atlantis)",,
Tracy Lucas,1991.0,10.0,Deceased,10/13/1954,"Cocoa Beach, FL",Male,US Air Force Academy; University of Arizona,Mechanical Engineering,Polymer Science & Engineering,,,2,7585,9,56.7,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108/111 (Endeavor)",01/29/1994,
Peter Powell,1984.0,12.0,Retired,03/02/1954,"Hartford, CT",Male,US Naval Academy; US Naval Postgraduate School; University of Southern California,Physics,Engineering Science,,,3,2195,8,50.5,"STS-7 (Challenger), STS 41-G (Challenger)",,
Travis Smith,1998.0,18.0,Retired,02/19/1960,"French Camp, CA",Male,Georgia Institute of Technology,Mechanical Engineering,Aeronautical Systems,,US Air Force (Retired),4,172,4,17.6,STS-125 (Atlantis),,
Cheyenne Owens,1984.0,14.0,Active,10/06/1943,"Indianapolis, IN",Male,Purdue University; Air Force Institute of Technology,Engineering,Physics,,,3,5385,8,49.7,"STS-89 (Endeavor), STS-107 (Columbia)",,
David Conley,1994.0,13.0,Retired,07/31/1960,"Weatherford, OK",Female,Southeastern Massachusetts University; Purdue University,Physics,Science & Technology Administration,,,1,1236,1,3.0,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)",,
Veronica Rodriguez,1989.0,8.0,Retired,04/15/1948,"Murfreesboro, TN",Male,University of California-Los Angeles,Geology,Nuclear Engineering,Major,US Marine Corps Reserves,0,449,0,0.0,"STS-106 (Atlantis), STS-115 (Atlantis), ISS-29/30 (Soyuz)",,
Gloria Wright,1998.0,19.0,Retired,10/09/1958,"Ames, IA",Male,Harvey Mudd College; University of Washington,Mechanical Engineering,Aeronautics & Astronautics,Lieutenant Commander,US Army,3,70,8,48.9,,,
Leonard Benitez,1994.0,8.0,Deceased,03/25/1953,"Madrid, Spain",Male,US Naval Academy; US Naval Postgraduate School,Aeronautical & Astronautical Engineering,No Major,Colonel,US Air Force (Retired),1,5380,10,66.7,STS-67 (Endeavor),,
Charles Walker,,15.0,Retired,04/14/1968,"Denver, CO",Female,MIT,Aeronautical Engineering,Medicine,Lieutenant Colonel,,1,3617,8,48.0,STS-5 (Columbia),,
Steven Stewart,1996.0,13.0,Retired,03/15/1958,"Carlsbad, NM",Male,US Air Force Academy,Mathematics,Nuclear Engineering,,,2,2758,1,1.3,STS 51-D (Discovery),02/27/1999,
Sergio Arnold,2001.0,19.0,Retired,11/04/1961,"Lewiston, MT",Male,US Naval Academy; US Naval Postgraduate School,Chemical Engineering,International Relations,,US Air Force (Retired),3,824,3,9.9,STS-119 (Discovery),,
Theodore Black,1986.0,,Deceased,12/06/1955,"Ft. Belvoir, VA",Male,California State University; University of Colorado,Aeronautical Engineering,Mechanical Engineering,Colonel,,0,4574,6,30.2,"STS-9 (Columbia), STS-35 (Columbia)",,
Jessica Villarreal,2007.0,19.0,Active,03/29/1973,"Frankfurt, West Germany",Male,University of Colorado; Florida Atlantic University; Texas A&M University,Aerospace Engineering,Cancer Biology,Colonel,US Navy (Retired),2,3212,9,53.7,"STS 41-C (Challenger), STS 51-L (Challenger)",03/15/2002,
Tina Flores,1989.0,16.0,Retired,04/05/1951,"Uniontown, PA",Male,Washington University; California Institute of Technology,Electrical Engineering,No Major,Colonel,,7,2693,5,27.3,,,
Amy Rowland,1995.0,15.0,Retired,05/17/1955,"Baltimore, MD",Male,Drexel University; Thomas Jefferson University,,Materials Science,,US Marine Corps (Retired),5,1763,2,7.2,"STS-126 (Endeavor), STS-132 (Atlantis), STS-133 (Discovery)",,
James Aguilar,,19.0,Active,05/19/1970,"Ft. Belvoir, VA",Female,California Institute of Technology; Harvard University,Mathematics & Physics,Industrial Engineering,,,4,4454,4,20.7,"STS-70 (Discovery), STS-101 (Atlantis)",,
Phillip Williams,1980.0,10.0,Active,12/23/1948,"Elmira, NY",Male,Pennsylvania State University; Air Force Institute of Technology; University of Houston-Clear Lake,Chemical Engineering,No Major,Captain,US Coast Guard (Retired),3,327,3,7.7,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)",,
Jeffrey Kane,1990.0,15.0,Retired,01/03/1953,"Fayetteville, AR",Male,US Military Academy; Georgia Institute of Technology,Mechanical Engineering,Physical Chemistry,,,3,4198,9,57.5,"STS-123 (Endeavor), STS-129 (Atlantis)",,
Amber Bryant,,9.0,Retired,08/15/1948,"Wapakoneta, OH",Male,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Aeronautics & Astronautics,Commander,US Air Force,5,39,2,5.3,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)",,
Mr. Norman Horne DVM,1968.0,5.0,Retired,09/02/1937,"Boston, MA",Male,Vanderbilt University; University of Pennsylvania,Geology,Aviation Systems,,US Marine Corps (Retired),4,1168,1,0.8,STS 51-B (Challenger),,
Christopher Rivera,1979.0,14.0,Deceased,03/18/1936,"Mt. Ayr, IA",Male,US Air Force Academy; George Washington University,"Aeronautics & Astronautics; Earth, Atmospheric & Planetary Sciences",Physics,Colonel,,2,3611,8,41.7,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",12/18/1993,
Ronald Long,1989.0,12.0,Retired,01/24/1957,"Wetumka, OK",Male,Syracuse University; Marietta College; University of California-Los Angeles; University of Kentucky; University of Houston; Columbia University,Electrical Engineering,Applied Physics,,US Army (Retired),0,434,0,0.0,"STS-126 (Endeavor), ISS-49/50 (Soyuz)",,
Sarah Davis,1976.0,,Retired,12/09/1946,"Buffalo, NY",Male,US Military Academy; California Institute of Technology,Physics,Operations Research,Brigadier General,US Navy (Retired),3,1327,2,8.5,"STS-2 (Columbia), STS 51-I (Discovery)",,
John Holmes,1980.0,10.0,Retired,07/05/1948,"Denver, CO",Male,University of Kansas; University of California,Mechanical Engineering,Chemical Engineering,,,3,833,7,37.6,"STS-126 (Endeavor), STS-132 (Atlantis), STS-133 (Discovery)",,
Jessica White,2006.0,20.0,Active,02/13/1974,"Sacramento, CA",Female,Hastings College; Iowa State University,Zoology,Aviation Systems,,,4,8180,10,65.6,"Gemini 7, Gemini 12, Apollo 8, Apollo 13",,
James Wilkins,1982.0,11.0,Deceased,06/27/1941,"Faison, NC",Male,Western Kentucky University,Computer Science,Aeronautical Engineering,Colonel,US Navy (Retired),1,93,3,7.8,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",,
Stephanie Price,2002.0,17.0,Retired,02/09/1964,"Dallas, TX",Male,US Naval Academy; Air Force Institute of Technology,Engineering Science,Science & Technology Administration,Colonel,US Navy,5,5005,0,0.7,,,
Michael Buchanan,1975.0,5.0,Management,07/19/1943,"Detroit, MI",Female,US Naval Academy; West Florida University,Engineering,Electrical Engineering,,,0,387,2,8.9,"Gemini 9, Apollo 10, Apollo 17",,
Alec Davis,1976.0,11.0,Active,12/04/1940,"Ancon, Panama",Female,US Air Force Academy; Purdue University,Aerospace Engineering,Medicine,Colonel,US Air Force (Retired),3,1681,0,0.2,STS-89 (Endeavor),06/01/1991,
Ryan Mercer,1966.0,5.0,Retired,03/30/1941,"Greenville, SC",Male,US Naval Academy,Aerospace Engineering,Business Administration,Colonel,,1,2755,9,52.1,STS-131 (Discovery),,
Jennifer Roberts,,9.0,Retired,10/25/1952,"Burlington, IA",Male,University of California-Berkeley; University of California-Santa Barbara,Chemical Engineering,Solid State Physics,Colonel,US Marine Corps (Retired),1,4412,4,20.6,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)",,
Kayla Mora,1977.0,10.0,Retired,09/30/1949,"Hartford, CT",Male,Saint John’s University; Stanford University,Aeronautics & Astronautics,Mechanical  Engineering,Colonel,,4,3345,7,37.7,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)",,STS-107 (Columbia)
Yolanda Thompson,1962.0,3.0,Deceased,03/05/1926,"Fresno, CA",Male,Auburn University; University of Colorado,Electrical Science,Nuclear Engineering,Colonel,,6,2377,0,0.4,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",,
Matthew Martinez,1970.0,6.0,Retired,01/14/1935,"Durango, CO",Male,California Institute of Technology,Mathematical & Electrical Science,Materials Science,Captain,US Navy (Retired),2,4318,10,64.5,"STS-60 (Discovery), STS-76 (Atlantis)",,
Jessica Wilson,1982.0,13.0,Retired,04/23/1950,"Orange, NJ",Male,Rice University; Stanford University,Aeronautical Engineering,Physics,Colonel,,6,129,0,0.1,,,
Ashley Murphy,,18.0,Retired,12/16/1969,"Key West, FL",Male,US Naval Academy,Aeronautical Engineering,Aeronautical Engineering,Colonel,,3,1715,7,34.2,"Gemini 8, Apollo 9, Apollo 15",05/18/1999,
Cathy Mitchell,,4.0,Deceased,02/03/1946,"San Antonio, TX",Female,US Air Force Academy; University of Southern California,Mechanical & Aeronautical Engineering,Systems Management,Colonel,US Air Force (Retired),2,1224,6,29.6,STS-90 (Columbia),,
Logan Lee,1966.0,3.0,Management,04/24/1932,"Tallahassee, FL",Male,Missouri Southern State College; University of Missouri; University of Washington,Applied Mathematics,Medicine,Colonel,US Navy (Retired),3,25,0,0.0,"STS-83 (Columbia), STS-94 (Columbia)",,
Mr. Charles Meadows Jr.,1991.0,15.0,Retired,04/28/1951,"Kealakekua, HI",Male,US Air Force Academy; University of Alabama,,No Major,Captain,US Air Force,2,101,0,0.2,"STS-3 (Columbia), STS 51-F (Challenger)",,
Mary Hunt,2006.0,,Retired,03/22/1974,"Washington, DC",Male,US Air Force Academy; Stanford University,Aeronautical Engineering,Mechanical  Engineering,,,4,1289,0,0.7,"STS-64 (Discovery), STS-81/84 (Atlantis)",,
Caleb Barrett,1996.0,14.0,Retired,05/05/1962,"Mt. Ayr, IA",Male,University of Colorado; Florida Atlantic University; Texas A&M University,Physics,Mechanical  Engineering,,,3,3118,5,23.2,"STS-101 (Atlantis), ISS-13 (Soyuz), ISS-21/22 (Soyuz), ISS-47/48 (Soyuz)",,
Kevin Carroll,,4.0,Retired,09/08/1930,"Oak Park, IL",Male,US Air Force Academy; Purdue University,Aerospace Engineering,No Major,Colonel,,2,183,0,0.4,"STS-124/126 (Discovery/Endeavor), STS-134 (Endeavor)",,
Michael White,1965.0,6.0,Management,05/20/1927,"Augusta, GA",Male,US Naval Academy; University of West Florida; University of California-Los Angeles,Electrical Engineering,Electrical Engineering,,,2,491,2,5.9,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108/111 (Endeavor)",,
Holly Clark,1997.0,15.0,Active,10/05/1958,"Hereford, TX",Male,Youngstown State University; University of Florida,Engineering Science,Aeronautics,,,2,3678,3,10.9,"STS-103 (Discovery), STS-118 (Endeavor), ISS-25/26 (Soyuz), ISS-43/44/45/46 (Soyuz)",,
Amanda Jackson,2002.0,17.0,Active,12/18/1971,"Bedford, IN",Male,Case Western Reserve University; Cornell University,Aerospace Engineering,Chemical Engineering,,US Navy,2,4175,1,2.6,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",,
Lindsey Martin,1995.0,16.0,Retired,02/01/1950,"Bedford, IN",Female,University of Virginia; Stanford University,Chemical Engineering,No Major,,,5,890,3,8.7,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (Columbia)",,
Joseph Beck,1977.0,9.0,Deceased,04/14/1935,"Pittsburgh, PA",Male,US Naval Academy,Zoology,Aeronautical Engineering,,US Air Force (Retired),4,754,4,16.3,"STS 51-l (Discovery), STS-26 (Discovery), STS-38 (Atlantis), STS-61 (Endeavor)",,
Sheryl Cunningham,1993.0,11.0,Retired,10/27/1951,"El Paso, TX",Male,MIT,Marine Engineering & Nautical Science,Mechanical Engineering,Colonel,US Air Force (Retired),1,128,3,12.9,"STS-123 (Endeavor), STS-129 (Atlantis)",,
Edward Poole,2003.0,19.0,Deceased,01/17/1966,"Columbus, OH",Male,US Naval Academy,Electrical Engineering,Geology,Colonel,US Navy (Retired),1,818,1,1.2,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)",,
Patrick Johnson,1985.0,14.0,Retired,03/07/1953,"Memphis, TN",Male,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Electrical Engineering,Lieutenant Colonel,US Naval Reserves,1,1011,0,0.4,,,
Anna Santana,1981.0,7.0,Management,05/11/1945,"Crawsfordsville, IN",Male,University of Texas,Ocean Engineering,Medicine,,,2,1172,3,7.8,,,
Michael Heath,2002.0,,Active,10/05/1962,"Queens, NY",Female,US Military Academy; MIT,,Aeronautics & Astronautics,,,3,769,1,2.6,,,
Richard Graham,,,Active,09/16/1968,"LaCrosse, WI",Male,University of California-Berkeley; University of Houston,Chemical Engineering,Aeronautical Systems,,,1,662,5,26.2,"STS 41-B (Challenger), STS-31 (Discovery)",,
Lisa Scott,1981.0,11.0,Active,11/27/1946,"Muskegon, MI",Female,University of Utah; University of California-Berkley,Mathematics & Physics,Chemistry,,,2,4789,8,43.0,"STS-123/124 (Endeavor/Discovery), STS-132 (Atlantis)",,
Danny Gamble,2001.0,19.0,Active,02/11/1962,"Orange, TX",Male,US Naval Academy; University of Tennessee,Engineering Physics,Electrical Engineering,,,1,388,0,0.0,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",03/25/1984,
Paula Flores,1992.0,12.0,Management,01/06/1960,"Dayton, OH",Male,University of Utah,Aerospace Engineering,Aeronautical Engineering,,,4,1111,2,5.2,"STS-124 (Discovery), STS-132 (Atlantis)",,STS 51-L (Challenger)
Lisa Lee,1996.0,18.0,Retired,04/25/1962,"Crowborough, England",Male,University of North Dakota; University of Texas,Engineering Science,No Major,Colonel,,1,1572,9,54.2,STS-102 (Discovery),,
Valerie Phillips,2001.0,16.0,Active,07/24/1966,"Phoenix, AZ",Female,Whitman College,Aeronautical Engineering,Materials Science,,,7,2916,0,0.5,"STS-109 (Columbia), STS-125 (Atlantis)",,
James Thompson,1977.0,6.0,Management,07/24/1948,"Phoenix, AZ",Male,US Naval Academy; University of Maryland; US Naval Postgraduate School,Metallurgical Engineering,Aerospace Engineering,,,3,200,0,0.0,Apollo 14,,
Zachary Bryant,1998.0,16.0,Retired,06/02/1962,"Montclair, NJ",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Mechanical Engineering,Captain,US Navy (Retired),1,100,1,2.0,Apollo 8,,
Curtis Morales,1976.0,,Deceased,04/11/1946,"Washington, DC",Female,US Military Academy; Georgia Institute of Technology,Aeronautical Engineering,Aeronautical Engineering,,,2,2491,0,0.3,Apollo 14,,
Stephanie White,1973.0,,Active,04/15/1936,"Cambridge, OH",Male,US Naval Academy,Chemistry,Polymer Science & Engineering,,US Air Force (Retired),1,1773,5,21.5,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Michael James,1997.0,14.0,Retired,08/31/1960,"Gary, IN",Female,Loyola College; MIT,Ecological Science,Materials Science Engineering,Captain,US Air Force (Retired),2,2299,2,6.5,"STS-8 (Challenger), STS 51-G (Discovery), STS-32 (Columbia), STS-49 (Endeavor)",,
Christian Donaldson,1966.0,5.0,Retired,07/16/1934,"Cape Girardeau, MO",Male,Harvey Mudd College; University of Washington,Physics,Environmental Science,,,1,1103,9,54.7,"STS-112 (Atlantis), STS-126/119 (Endeavor/Discovery), STS-135 (Atlantis)",,
Megan Davis,1967.0,9.0,Deceased,01/12/1930,"Ft. Belvoir, VA",Male,Western Kentucky University,Aerospace Engineering,No Major,Colonel,,2,550,4,14.8,"STS 41-C (Challenger), STS 61-C (Columbia), STS-26 (Discovery)",,
Clayton Moreno,1983.0,7.0,Retired,12/16/1952,"Cleveland, OH",Male,US Air Force Academy; Purdue University,Aeronautical Engineering,Applied Mathematics,,,3,4638,4,13.6,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",,
Joyce Young,2001.0,18.0,Retired,10/06/1963,"Mineral Wells, TX",Male,Saint John’s University; Stanford University,Aerospace Engineering & Mechanics,Astronautical Engineering,Colonel,US Marine Corps (Retired),1,4739,9,56.3,"STS 41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)",,STS 51-L (Challenger)
Maria Villa,1997.0,17.0,Retired,10/04/1960,"Bristol, PA",Male,US Military Academy; Georgia Institute of Technology,Industrial Management,Physiology,Captain,US Air Force (Retired),1,3587,6,33.1,,,
Juan May,1984.0,6.0,Active,12/22/1952,"Lafayette, IN",Female,US Naval Academy; University of Colorado,Astronautical Engineering,Astronomy,,US Air Force (Retired),1,3419,7,38.2,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",,
Tracey Johnson,1992.0,14.0,Deceased,04/17/1952,"Brooklyn, NY",Male,US Naval Academy; Florida State Institute of Technology,Mathematics & Economics,Electrical Engineering,Colonel,US Navy (Retired),0,1216,0,1.3,STS 51-C (Discovery),,STS-107 (Columbia)
Gerald Long,1991.0,14.0,Active,09/22/1952,"Beaufort, NC",Female,Yale University; University of Virginia,Aeronautical Engineering,Aerospace Engineering,Lieutenant Commander,US Navy (Retired),2,3195,9,57.7,"STS-101 (Atlantis), ISS-13 (Soyuz), ISS-21/22 (Soyuz), ISS-47/48 (Soyuz)",03/27/1979,
Jaime Green,1964.0,10.0,Retired,07/19/1938,"Portland, OR",Male,Emory University,Aerospace Engineering,Astronomy,Captain,US Navy,6,552,6,26.7,,,
Eric Pena,1980.0,7.0,Retired,11/09/1939,"Quonset Point, RI",Male,Harvard University; University of Texas,Astronautical Engineering,Flight Structures Engineering,Captain,US Air Force (Retired),2,1455,0,0.1,"STS-72 (Endeavor), STS-87 (Columbia)",,
Paul Walker,1993.0,11.0,Active,11/07/1965,"Milwaukee, WI",Female,California Institute of Technology,Business Finance,Engineering Management,Colonel,US Air Force (Retired),3,5476,7,43.1,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discovery), STS-102 (Discovery), STS-114 (Discovery)",10/25/1998,
Thomas Morgan,1990.0,11.0,Retired,07/21/1956,"La Mesa, CA",Male,University of California-Berkeley; University of New Mexico,Engineering,Physics,,,3,10,8,44.7,STS-107 (Columbia),04/16/1991,
Katherine Sanchez,1986.0,14.0,Deceased,01/23/1952,"Philadelphia, PA",Male,University of Arizona; University of Central Florida,Electrical Engineering,Aeronautical Engineering,,US Air Force (Retired),3,3146,8,44.9,"STS 61-B (Atlantis), STS-30 (Atlantis)",,
Brian Jackson,1971.0,9.0,Deceased,10/01/1940,"Scranton, PA",Male,Tufts University; MIT,Aeronautical Engineering,Aeronautical Engineering,,,4,594,4,15.0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)",,
Kevin Dixon,1985.0,11.0,Retired,04/12/1946,"Ancon, Panama",Male,US Naval Academy; University of Michigan,Aeronautical Engineering,Engineering Management,Colonel,US Air Force,4,1398,3,9.1,"STS 41-B (Challenger), STS 51-J (Atlantis)",,
Angela Mckinney,1997.0,14.0,Retired,04/28/1956,"Wheeler, TX",Male,US Naval Academy; US Naval Postgraduate School,Physics,Mechanical Engineering,Captain,US Navy (Retired),1,1488,4,18.0,,09/03/1992,
Matthew Maldonado,1960.0,2.0,Retired,07/19/1926,"Cleveland, OH",Male,DePauw University; Yale University,Aerospace Engineering,Aerospace Engineering,Captain,,1,1292,7,40.6,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)",,
Jimmy Ross,1989.0,13.0,Deceased,01/02/1950,"Wilmington, DE",Male,US Naval Academy; George Washington University,Engineering,Aeronautical Engineering,Lieutenant Colonel,US Navy,1,1077,8,51.8,Apollo 15,,
Ronald Lucas,2000.0,18.0,Retired,02/14/1965,"Chattanooga, TN",Male,Indiana University of Pennsylvania; Medical College of Pennsylvania,Aeronautical Engineering,Electrical Engineering,,,4,1071,3,9.6,"STS-85 (Discovery), STS-95 (Discovery), STS-114 (Discovery), STS-130 (Endeavor)",,
Reginald Reyes,,4.0,Retired,07/15/1936,"Salem, MA",Male,US Naval Academy; Columbia University,Aeronautical Engineering,Astronomy & Astrophysics,Colonel,US Air Force (Retired),2,2528,1,1.7,STS 51-D (Discovery),,
Matthew Luna,1974.0,8.0,Retired,12/05/1940,"Miami, FL",Male,University of Illinois-Urbana,Aeronautical Engineering,Aeronautical Engineering,Major General,US Navy,4,273,3,13.4,,,
Ryan Petty,1967.0,11.0,Active,05/02/1936,"Parker’s Prairie, MN",Female,University of Virginia; University of Michigan,,Systems Management,,US Air Force (Retired),1,419,2,5.4,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)",,
Brenda Smith,1977.0,7.0,Retired,07/25/1944,"Orange, NJ",Male,US Air Force Academy; Ohio State University; University of Colorado,Ceramic Engineering,Operations Research,,,2,2065,7,41.7,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",,
Jose Smith,1993.0,16.0,Retired,04/07/1956,"East Derry, NH",Male,Saint John’s University; Stanford University,Aeronautical Engineering,Astronautical & Aeronautical Engineering,Captain,US Marine Corps (Retired),2,236,0,0.0,"STS-110 (Atlantis), STS-122 (Atlantis), STS-135 (Atlantis)",,
Andrew Nguyen,2008.0,20.0,Retired,08/14/1973,"Danville, IL",Female,University of Michigan,,Earth Sciences,Captain,US Navy (Retired),7,1967,8,43.8,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)",,
Tracy Rhodes,2000.0,17.0,Management,07/13/1964,"Farmington, CT",Male,University of Colorado; US Naval Postgraduate School,Mathematics,Biochemistry,,,5,768,0,0.2,"STS-60 (Discovery), STS-76 (Atlantis)",,
Robert Rodriguez,1971.0,4.0,Management,09/06/1937,"Oak Ridge, TN",Male,Indiana University of Pennsylvania; Medical College of Pennsylvania,Space Physics,Mechanical Engineering,Captain,,2,2451,0,0.7,"STS 51-D (Discovery), STS-34 (Atlantis)",07/04/1998,
Reginald Santana,1971.0,6.0,Deceased,08/31/1935,"St. Paul, MN",Male,Cornell University; Princeton University; University of Miami,Aeronautical Engineering,Geology,Lieutenant Colonel,,1,56,0,0.2,,,
Emily Solis,2006.0,20.0,Retired,09/03/1973,"Charles City, IA",Male,University of Minnesota,Aeronautical Engineering,Business Management,Colonel,US Air Force (Retired),2,1906,6,31.2,"STS-98 (Atlantis), ST-116 (Discovery), STS-127 (Endeavor)",,
Debbie Allen,1980.0,8.0,Active,10/28/1945,"Boston, MA",Male,University of California-Los Angeles,Electrical Engineering,Aviation Systems,Captain,US Air Force (Retired),2,6579,9,59.3,"STS-84 (Atlantis), STS-97 (Endeavor)",04/19/1992,
James Farmer,1963.0,4.0,Retired,12/19/1929,"Austin, TX",Male,University of Illinois-Urbana,Biology,Geology,,,2,879,5,24.0,,,
Sheila Mcmillan,1977.0,8.0,Management,04/06/1939,"Santa Rita, NM",Male,Case Western Reserve University; Cornell University,Aeronautical Engineering,Chemistry,Colonel,US Air Force (Retired),5,2742,10,65.8,STS 61-B (Atlantis),,
George Wallace,1991.0,15.0,Retired,08/09/1961,"Cass City, MI",Male,University of Kansas; University of California,Aeronautical Engineering,Engineering,Captain,US Navy,3,1942,2,8.0,Apollo 13,,
Mark Jackson,1997.0,14.0,Active,09/23/1961,"Bedford, IN",Female,University of California at Los Angeles,Chemical Engineering,No Major,Colonel,US Navy (Retired),3,573,9,59.3,"STS-124 (Discovery), ISS-36/37 (Soyuz)",07/13/1993,
Tiffany Hunter PhD,1999.0,18.0,Retired,09/12/1959,"Silverton, OR",Male,US Air Force Academy; US Air Force Institute of Technology,Mechanical Engineering,Engineering Management,Captain,US Air Force,1,1574,1,2.3,"STS-120 (Discovery), ISS-24/25 (Soyuz)",12/21/1997,
Cindy Thomas,1994.0,14.0,Retired,10/13/1957,"South Bend, IN",Male,City College of New York; Rutgers University,Aeronautical & Astronautical Engineering,Computer Systems,Colonel,US Marine Corps (Retired),1,449,5,25.7,"STS-36 (Atlantis), STS-49 (Endeavor), STS-62 (Columbia)",,
Joseph Logan,1977.0,,Retired,11/07/1947,"Dayton, OH",Female,US Air Force Academy; Embry-Riddle Aeronautical University,Aeronautical Engineering,Computer Systems,Colonel,,1,3931,4,15.8,Apollo 9,,
Sally Wang,1965.0,5.0,Retired,10/05/1931,"Indianapolis, IN",Male,DePauw University; Yale University,Aerospace Engineering,Aeronautical Engineering,Captain,US Air Force (Retired),1,162,1,1.2,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)",,
James Richardson,,16.0,Retired,01/19/1966,"Fayette, MS",Male,University of Arizona,,Systems Management,,US Navy (Retired),2,2138,5,19.4,Apollo-Soyuz Test Project,,
Barbara Smith,1991.0,12.0,Retired,11/22/1948,"Parker’s Prairie, MN",Male,US Naval Academy; University of Michigan,Engineering,Medicine,Captain,US Navy,2,1115,1,4.0,"STS 61-B (Atlantis), STS-40 (Columbia)",,
Ashley Johnson,1992.0,13.0,Retired,09/25/1960,"Lewiston, MT",Male,University of Washington; Creighton University,Engineering Sciences; Astronautics & Mathematics,Engineering Management,Captain,US Navy (Retired),1,1136,0,0.0,,,
Connor Smith,1991.0,11.0,Management,09/01/1952,"Los Angeles, CA",Male,US Naval Academy; University of Michigan,Physics,Aeronautical Engineering,,,2,973,0,0.1,STS-34 (Atlantis),,
Kelsey Mcclure,1979.0,10.0,Active,03/22/1943,"Jamestown, ND",Male,University of Texas-Dallas,Metallurgical Engineering,Aeronautics,Captain,US Navy,3,3459,0,0.3,"STS-6 (Challenger), STS 51-F (Challenger), STS-33 (Discovery), STS-44 (Atlantis), STS-61 (Endeavor), STS-80 (Columbia)",,
Courtney Aguilar,1978.0,,Management,08/25/1946,"Newport, VT",Female,Stanford University,Chemistry,Aeronautics,Captain,US Air Force Reserves,5,946,0,0.0,"STS 41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)",,
Robert Williams,1990.0,13.0,Retired,08/28/1956,"Karnal, India",Male,US Naval Academy; US Naval Postgraduate School,Engineering Physics,Aviation Systems,,US Air Force Reserves (Retired),2,3495,9,59.0,"STS-27 (Atlantis), STS-35 (Columbia)",,
Angela Johnson,1984.0,16.0,Retired,11/19/1955,"Portland, IN",Female,University of California-Los Angeles; University of California-San Diego,Mechanical Engineering,Aerospace Science,Captain,US Navy (Retired),3,985,6,27.9,"STS-118 (Endeavor), ISS-23/24 (Soyuz)",,
